date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-01,-0.6,-1.7,0.4,,30.0,226.0,11.1,,1025.4,
2000-01-02,1.0,-0.7,3.1,,41.0,263.0,13.8,,1029.0,
2000-01-03,0.1,-1.1,1.1,0.0,30.0,242.0,22.8,,1028.1,
2000-01-04,1.9,0.1,3.7,,20.0,229.0,25.5,,1021.9,
2000-01-05,2.7,-1.2,5.1,,,254.0,19.4,,1021.9,
2000-01-06,-2.1,,,,,,,,,
2000-01-07,1.3,-4.4,3.1,,,231.0,9.5,,1026.0,
2000-01-08,1.6,0.3,3.9,0.0,,,8.4,,1024.7,
2000-01-09,0.2,-1.2,1.7,,,,6.6,,1025.9,
2000-01-10,-0.4,-1.3,1.0,1.0,20.0,,4.7,,1035.1,
2000-01-11,-1.3,-4.9,0.2,0.0,,,4.5,,1040.4,
2000-01-12,-4.4,-6.6,-1.1,0.0,,169.0,10.2,,1036.8,
2000-01-13,-4.6,-6.4,-4.1,,,160.0,12.6,,1027.9,
2000-01-14,-4.6,-5.7,-4.0,,,,7.4,,1027.1,
2000-01-15,-3.2,-6.1,0.2,0.0,,,,,,
2000-01-16,-1.7,-5.3,0.7,1.5,,261.0,15.6,,1033.0,
2000-01-17,2.9,-1.4,6.0,1.5,,267.0,34.0,,,
2000-01-18,2.2,-0.4,4.5,2.0,,312.0,34.3,,,
2000-01-19,-0.7,-1.7,-0.1,1.5,20.0,309.0,27.5,,1022.6,
2000-01-20,-0.7,-4.6,1.8,,,264.0,30.5,,1023.8,
2000-01-21,-1.4,-6.1,2.1,3.0,,307.0,32.8,,1014.4,
2000-01-22,-2.9,-6.5,-0.5,1.8,51.0,,10.7,,1013.7,
2000-01-23,-6.9,-14.2,-3.1,1.5,79.0,355.0,14.8,,1014.4,
2000-01-24,-10.2,-15.3,-5.7,,79.0,287.0,12.0,,1025.0,
2000-01-25,-10.0,-13.0,-6.3,1.5,71.0,247.0,12.6,,1030.6,
2000-01-26,-6.3,-10.9,-3.0,,71.0,244.0,29.0,,,
2000-01-27,-1.6,-3.5,0.4,0.0,61.0,247.0,26.3,,1028.6,
2000-01-28,-2.3,-6.4,1.2,0.0,51.0,235.0,28.7,,1021.1,
2000-01-29,3.2,-1.7,5.0,0.0,41.0,236.0,43.1,,1005.5,
2000-01-30,4.4,2.5,6.3,6.9,,270.0,31.5,,1007.6,
2000-01-31,7.3,2.7,8.6,2.5,,255.0,32.4,,1016.9,
2000-02-01,6.4,4.1,9.6,,,244.0,23.3,,1021.4,
2000-02-02,6.9,3.2,9.9,0.0,,257.0,23.1,,1014.8,
2000-02-03,3.1,0.9,5.8,2.0,,285.0,27.2,,,
2000-02-04,2.3,-1.1,5.2,,,243.0,25.1,,1034.5,
2000-02-05,6.1,3.6,9.4,,,247.0,26.7,,1029.1,
2000-02-06,7.4,4.0,13.6,0.0,,218.0,14.4,,1025.1,
2000-02-07,6.2,2.7,9.4,0.0,,229.0,21.9,,,
2000-02-08,7.9,4.5,10.3,1.8,,240.0,37.4,,1008.2,
2000-02-09,4.2,2.3,9.6,1.5,,272.0,33.2,,1013.4,
2000-02-10,3.7,1.0,6.5,,,242.0,21.2,,1023.6,
2000-02-11,2.9,0.0,5.1,1.8,,263.0,13.4,,1026.5,
2000-02-12,1.3,-1.0,3.9,,,202.0,12.7,,,
2000-02-13,2.4,-0.1,6.2,0.0,,246.0,28.3,,1018.2,
2000-02-14,1.1,-0.7,4.7,0.3,10.0,263.0,23.1,,1021.4,
2000-02-15,3.4,-1.3,7.3,1.3,,224.0,19.1,,1015.5,
2000-02-16,3.2,-0.1,8.0,1.3,,225.0,22.2,,1003.7,
2000-02-17,-0.2,-2.9,3.0,1.5,,255.0,17.8,,1005.4,
2000-02-18,-0.3,-3.4,3.3,0.8,,223.0,17.4,,1010.7,
2000-02-19,1.9,-1.2,4.7,2.0,20.0,229.0,11.0,,1005.3,
2000-02-20,0.2,-1.5,2.1,1.8,,315.0,17.7,,1018.3,
2000-02-21,-2.7,-5.6,0.7,1.0,30.0,,10.5,,1029.3,
2000-02-22,-2.2,-6.4,0.5,,,218.0,13.4,,1027.4,
2000-02-23,0.8,-1.4,3.5,1.3,20.0,265.0,12.8,,1026.2,
2000-02-24,2.5,-0.8,6.6,1.0,,231.0,24.0,,1025.4,
2000-02-25,4.2,1.3,9.9,3.0,,267.0,26.9,,1021.5,
2000-02-26,1.2,-1.7,5.2,,,255.0,12.9,,1032.7,
2000-02-27,2.2,-2.5,8.2,0.0,,190.0,12.8,,1032.6,
2000-02-28,6.3,0.5,13.0,0.0,,169.0,19.4,,1022.7,
2000-02-29,7.4,4.7,9.7,1.5,,222.0,16.7,,1017.2,
2000-03-01,6.2,,9.7,1.3,,,,,,
2000-03-02,1.9,-0.1,5.0,3.8,,284.0,22.4,,1017.4,
2000-03-03,4.1,-0.2,7.6,1.5,,236.0,38.3,,1009.7,
2000-03-04,1.4,-1.3,3.8,3.6,,274.0,22.7,,1013.2,
2000-03-05,-0.6,-3.4,2.1,1.3,20.0,284.0,27.6,,1027.5,
2000-03-06,2.3,-2.2,7.2,,,242.0,20.9,,1029.8,
2000-03-07,5.8,1.3,10.8,,,247.0,32.6,,1022.4,
2000-03-08,8.2,6.2,9.7,,,250.0,38.9,,1017.5,
2000-03-09,9.9,6.7,12.4,,,268.0,42.5,,1012.0,
2000-03-10,2.4,1.0,4.6,6.9,,301.0,18.8,,,
2000-03-11,5.8,0.9,10.5,5.1,,245.0,25.9,,,
2000-03-12,2.2,0.3,5.6,0.5,,,11.4,,1025.1,
2000-03-13,3.1,1.8,5.0,,,,7.5,,1026.9,
2000-03-14,5.8,1.5,8.2,0.5,,236.0,25.8,,1017.9,
2000-03-15,0.7,-0.8,3.7,5.1,,291.0,29.0,,1020.2,
2000-03-16,1.1,-0.9,3.7,1.0,,311.0,24.5,,1020.5,
2000-03-17,1.0,-0.3,3.0,6.1,41.0,319.0,18.8,,1020.0,
2000-03-18,0.3,-2.4,4.3,,,349.0,14.2,,1024.8,
2000-03-19,1.4,-2.0,4.4,0.0,,330.0,19.1,,1027.9,
2000-03-20,2.6,-2.9,7.2,,,304.0,9.9,,1027.4,
2000-03-21,5.0,1.2,9.2,,,6.0,10.2,,1023.5,
2000-03-22,4.4,0.4,10.8,1.5,,,7.1,,1020.4,
2000-03-23,8.2,0.5,15.4,,,,8.2,,1016.0,
2000-03-24,6.4,3.2,10.6,1.3,,,5.6,,1014.4,
2000-03-25,8.1,5.7,12.0,,,235.0,13.5,,1016.0,
2000-03-26,7.3,1.1,13.4,0.0,,120.0,11.7,,1012.0,
2000-03-27,4.1,3.5,6.0,,,340.0,15.0,,1006.9,
2000-03-28,3.3,2.3,4.5,,,354.0,14.3,,1011.0,
2000-03-29,6.1,1.8,11.5,,,69.0,19.5,,1013.0,
2000-03-30,3.7,1.8,7.4,,,150.0,17.7,,1003.3,
2000-03-31,4.7,1.8,6.8,2.8,,258.0,20.7,,1006.6,
2000-04-01,6.0,1.5,9.4,,,226.0,8.0,,1006.7,
2000-04-02,7.2,2.3,13.4,0.0,,,11.1,,1008.0,
2000-04-03,8.1,0.6,14.2,0.0,,113.0,14.0,,999.9,
2000-04-04,9.1,5.2,14.3,1.8,,73.0,10.1,,,
2000-04-05,7.5,2.4,15.1,,,,19.1,,1001.5,
2000-04-06,2.9,-0.7,7.4,0.0,,343.0,26.2,,1021.4,
2000-04-07,5.3,0.8,10.8,0.0,,315.0,19.8,,1028.0,
2000-04-08,5.1,1.9,9.0,1.0,,329.0,12.5,,1025.0,
2000-04-09,5.5,0.0,10.6,,,122.0,10.8,,1017.5,
2000-04-10,5.2,0.2,8.3,0.0,,69.0,14.6,,1011.3,
2000-04-11,7.1,1.0,14.5,2.8,,,7.5,,1000.7,
2000-04-12,5.9,3.9,9.8,1.0,,,14.9,,996.2,
2000-04-13,6.7,1.1,11.6,,,214.0,25.2,,1002.2,
2000-04-14,8.6,5.2,15.0,,,217.0,14.7,,1003.6,
2000-04-15,10.2,2.1,19.6,0.0,,,10.2,,1000.9,
2000-04-16,11.5,6.6,17.7,,,223.0,18.9,,1004.7,
2000-04-17,12.9,3.4,21.8,0.0,,,10.1,,1003.3,
2000-04-18,10.6,8.2,14.4,,,,10.4,,1011.6,
2000-04-19,12.4,6.2,20.0,0.0,,,12.6,,1009.6,
2000-04-20,13.7,7.5,19.6,0.0,,,8.0,,1015.9,
2000-04-21,16.5,7.7,24.2,0.0,,,4.6,,1015.9,
2000-04-22,17.9,10.0,26.1,0.0,,,9.2,,,
2000-04-23,19.1,9.8,26.8,0.0,,,12.1,,1010.3,
2000-04-24,14.7,9.9,20.8,0.0,,,13.9,,1007.0,
2000-04-25,11.6,9.5,15.0,0.0,,336.0,10.8,,1014.3,
2000-04-26,13.2,4.0,20.4,0.8,,,7.4,,1014.7,
